baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AsAa_g785	954.469603603951	2.76350385736858	0.0857655190419004	32.2216187605474	8.79034175346772e-228	9.80738429434393e-224
AsAa_g17505	608.285874070756	-3.50239833088077	0.142200725866076	-24.6299609903491	6.03464233821546e-134	3.36642522837349e-130
AsAa_g9248	962.29214050044	-7.31497179221021	0.316159865414313	-23.1369398599164	1.96789945549885e-118	7.31861807500022e-115
AsAa_g9314	480.801291349617	-6.59563362734355	0.324784446931199	-20.3077262155375	1.09874474791031e-91	3.06467378810882e-88
AsAa_g9258	762.659495128202	-9.03207950531345	0.503485263929538	-17.9391139172992	5.83785936027045e-72	1.30265993765075e-68
AsAa_g4838	414.757552891776	-7.85071179131133	0.453220657129205	-17.3220520023059	3.20714554558522e-67	5.96368714201571e-64
AsAa_g9280	1410.21325862502	-10.5078384401205	0.612939203685294	-17.143361653068	7.04568427579696e-66	1.01683476176959e-62
AsAa_g9302	964.34711736096	-9.39519887478234	0.54810078167615	-17.1413710559777	7.29109804979537e-66	1.01683476176959e-62
AsAa_g6572	728.371165714628	1.39594508793608	0.0824010614078267	16.9408629462567	2.24802650817457e-64	2.78680352796708e-61
AsAa_g17450	214.407938337688	-3.79957103045269	0.233922523067889	-16.2428610149266	2.50942493949116e-59	2.79976540499029e-56
AsAa_g6652	195.645004826283	-3.40387762203112	0.212558972363998	-16.0138035302605	1.02356733145582e-57	1.03817642882296e-54
AsAa_g4657	62.0032167357911	5.19570974254704	0.326553519954864	15.9107448704432	5.33746699285662e-57	4.96250993660844e-54
AsAa_g9257	266.682984403136	-6.08801870550093	0.395910450466399	-15.3772619498399	2.32576933721554e-53	1.99604680733183e-50
AsAa_g1182	894.892663224126	-1.63583937006411	0.108563724197003	-15.0680108126694	2.62910246106726e-51	2.09520686843767e-48
AsAa_g17928	384.317795570988	-6.36572834660193	0.423443465484527	-15.0332426061125	4.44693876363157e-51	3.30763305238916e-48
AsAa_g15821	110.548561796392	-2.9938084315123	0.205673490876286	-14.5561220299076	5.34024733124012e-48	3.72382121716538e-45
AsAa_g11768	663.575210298188	1.30615446532277	0.0909359244463415	14.3634594718778	8.77359683784677e-47	5.75805999528567e-44
AsAa_g9242	443.63328581694	-8.44044078918675	0.600416420161272	-14.0576448374274	6.91494125503844e-45	4.28611108791466e-42
AsAa_g16600	94.3089336013009	7.07786969663908	0.524301476432457	13.4996180914834	1.57188854556783e-41	9.23029500152645e-39
